                   image,                                                                    model,    discription,                                     price
https://im.mashina.kg/tachka/images//6/6/0/66019199e5a4a1505204fcb47285e0bd_240x180.jpg,BMW X5,"2019 г., 3 л., автоматвнедорожник 5 дв., бензинруль слева, 53 000 км",$ 79 000
https://im.mashina.kg/tachka/images//d/4/c/d4cce14d27e828bc6cd084de1fdc424f_240x180.jpg,BMW X5,"2015 г., 3 л., автоматвнедорожник 5 дв., бензинруль слева, 115 000 км",$ 39 000
https://im.mashina.kg/tachka/images//b/2/6/b26c4254cdf4680a7a3e16ab97002135_240x180.jpg,BMW 1 серии,"2008 г., 3 л., механикакупе, бензинруль слева, 158 000 км",$ 19 500
https://im.mashina.kg/tachka/images//5/b/4/5b489513bc32d96a9d85d1d6e9d24212_240x180.jpg,BMW X6,"2008 г., 3 л., автоматвнедорожник 5 дв., бензинруль слева, 240 240 км",$ 20 900
https://im.mashina.kg/tachka/images//e/6/6/e6678b8f519836a9b44b626e3fc8d0d5_240x180.jpg,BMW X7,"2022 г., 3 л., автоматвнедорожник 5 дв., бензинруль слева   новый",$ 185 000
https://im.mashina.kg/tachka/images//8/e/3/8e39e1380b6d97ee3337046418ac3239_240x180.jpg,BMW 3 серии,"2019 г., 2 л., автоматседан, дизельруль слева, 28 000 км",$ 35 000
https://im.mashina.kg/tachka/images//7/5/a/75a8e663c1791f2a017443b5b6dcc024_240x180.jpg,BMW X5,"2017 г., 3 л., автоматвнедорожник 5 дв., бензинруль слева, 102 000 км",$ 45 000
https://im.mashina.kg/tachka/images//8/f/0/8f0b9fec76a795a9267f5a46b9cfc0c7_240x180.jpg,BMW 5 серии,"2011 г., 3 л., автоматседан, бензинруль слева, 130 000 км",$ 17 999
https://im.mashina.kg/tachka/images//e/c/8/ec8688bfc775edd3cf5dc8f29583402e_240x180.jpg,BMW 5 серии,"2004 г., 2.2 л., автоматседан, бензинруль слева, 197 163 км",$ 9 000
https://im.mashina.kg/tachka/images//9/a/f/9afc87d183f76b752139dc4c6879eb17_240x180.jpg,BMW X5,"2022 г., 3 л., автоматвнедорожник 5 дв., бензинруль слева, 1 400 км",$ 128 000
https://im.mashina.kg/tachka/images//e/f/8/ef8c487b4add64f9581c25a8a8f2176e_240x180.jpg,BMW 4 серии,"2016 г., 2 л., автоматкупе, бензинруль слева, 125 529 км",$ 25 000
https://im.mashina.kg/tachka/images//0/9/6/096f8c562450821742af1f1127266de5_240x180.jpg,BMW X5 M,"2022 г., 4.4 л., автоматвнедорожник 5 дв., бензинруль слева, 25 км",$ 226 800
https://im.mashina.kg/tachka/images//b/6/1/b61ff92d687e10d1334d20287de002cf_240x180.jpg,BMW 7 серии,"2020 г., 3 л., автоматседан, дизельруль слева, 40 000 км",$ 105 000
https://im.mashina.kg/tachka/images//1/6/5/1654b9b5c4719b24514751df46727cd2_240x180.jpg,BMW X7,"2020 г., 4.4 л., автоматвнедорожник 5 дв., бензинруль слева, 30 000 км",$ 145 000
https://im.mashina.kg/tachka/images//b/7/d/b7d71910a96976c9f9af63d5d82f75f0_240x180.jpg,BMW X7,"2020 г., 3 л., автоматвнедорожник 5 дв., бензинруль слева, 60 000 км",$ 110 000
https://im.mashina.kg/tachka/images//b/4/d/b4d811714b1c7a3c6aa44ee2942b02b7_240x180.jpg,BMW X5,"2022 г., 3 л., автоматвнедорожник 5 дв., гибридруль слева, 35 км",$ 132 000
https://im.mashina.kg/tachka/images//e/9/2/e92b355b30c5521f20319bbc83d1f5cf_240x180.jpg,BMW 7 серии,"2017 г., 4.4 л., автоматседан, бензинруль слева, 147 000 км",$ 52 000
https://im.mashina.kg/tachka/images//a/f/6/af637028cfea79c80f5f1a6003ba12b5_240x180.jpg,BMW 5 серии,"2018 г., 2 л., автоматседан, дизельруль слева, 85 000 км",$ 37 000
https://im.mashina.kg/tachka/images//d/8/2/d8290eae14817671205355631d0834e6_240x180.jpg,BMW X5,"2004 г., 3 л., автоматвнедорожник 5 дв., бензинруль слева, 240 213 км",$ 11 400
https://im.mashina.kg/tachka/images//9/c/9/9c92075443a3e5a363612038210dd5e5_240x180.jpg,BMW X5,"2017 г., 3 л., автоматвнедорожник 5 дв., дизельруль слева, 150 000 км",$ 55 000
